iteration,query,time,n,error
2,q1.rq,20.82,585400,False
2,q10.rq,0.73,1,False
2,q11.rq,1.11,260,False
2,q12.rq,1.43,130,False
2,q14.rq,2.82,22340,False
2,q15.rq,3.77,8564,False
2,q16.rq,2.08,1690,False
2,q17.rq,0.97,8550,False
2,q18.rq,0.06,1300,False
2,q2.rq,10.39,11998,False
2,q3.rq,0.57,4207,False
2,q4.rq,0.05,130,False
2,q5.rq,0.03,350,False
2,q6.rq,0.01,1,False
2,q7.rq,4.96,67,False
2,q8.rq,11.06,354600,False
2,q9.rq,101.62,2306543,False
