iteration,query,time,n,error
4,q1.rq,37.23,2927000,False
0,q1.rq,32.64,2927000,False
5,q1.rq,34.1,2927000,False
9,q1.rq,35.37,2927000,False
3,q1.rq,33.78,2927000,False
2,q1.rq,33.37,2927000,False
8,q1.rq,35.2,2927000,False
6,q1.rq,34.26,2927000,False
1,q1.rq,33.23,2927000,False
7,q1.rq,33.76,2927000,False
5,q11.rq,22.51,260,False
3,q11.rq,22.51,260,False
6,q11.rq,22.51,260,False
2,q11.rq,22.13,260,False
7,q11.rq,22.52,260,False
0,q11.rq,21.34,260,False
4,q11.rq,27.18,260,False
1,q11.rq,22.07,260,False
8,q11.rq,22.84,260,False
9,q11.rq,22.77,260,False
1,q14.rq,5.74,111700,False
3,q14.rq,5.78,111700,False
6,q14.rq,5.77,111700,False
8,q14.rq,5.79,111700,False
2,q14.rq,5.72,111700,False
5,q14.rq,5.75,111700,False
0,q14.rq,5.81,111700,False
9,q14.rq,5.8,111700,False
4,q14.rq,7.44,111700,False
7,q14.rq,5.78,111700,False
6,q16.rq,1.28,2600,False
7,q16.rq,1.28,2600,False
8,q16.rq,1.27,2600,False
5,q16.rq,1.28,2600,False
3,q16.rq,1.26,2600,False
4,q16.rq,1.25,2600,False
9,q16.rq,1.67,2600,False
1,q16.rq,1.22,2600,False
2,q16.rq,1.27,2600,False
0,q16.rq,1.26,2600,False
6,q18.rq,0.7,6500,False
3,q18.rq,0.69,6500,False
9,q18.rq,0.69,6500,False
0,q18.rq,0.68,6500,False
4,q18.rq,0.69,6500,False
8,q18.rq,0.7,6500,False
1,q18.rq,0.7,6500,False
7,q18.rq,0.71,6500,False
5,q18.rq,0.69,6500,False
2,q18.rq,0.69,6500,False
6,q2.rq,17.51,62465,False
2,q2.rq,17.17,62465,False
7,q2.rq,18.9,62465,False
3,q2.rq,17.2,62465,False
5,q2.rq,17.33,62465,False
8,q2.rq,18.56,62465,False
9,q2.rq,17.19,62465,False
4,q2.rq,20.11,62465,False
0,q2.rq,18.47,62465,False
1,q2.rq,17.2,62465,False
7,q3.rq,26.8,21034,False
6,q3.rq,28.07,21034,False
8,q3.rq,26.47,21034,False
1,q3.rq,26.22,21034,False
0,q3.rq,26.0,21034,False
9,q3.rq,28.11,21034,False
3,q3.rq,32.77,21034,False
2,q3.rq,27.71,21034,False
4,q3.rq,27.84,21034,False
5,q3.rq,31.09,21034,False
2,q4.rq,5.7,650,False
0,q4.rq,5.61,650,False
3,q4.rq,5.84,650,False
1,q4.rq,5.7,650,False
7,q4.rq,5.82,650,False
5,q4.rq,5.71,650,False
8,q4.rq,5.81,650,False
4,q4.rq,5.88,650,False
9,q4.rq,5.85,650,False
6,q4.rq,5.78,650,False
8,q5.rq,0.66,1750,False
4,q5.rq,0.66,1750,False
1,q5.rq,0.66,1750,False
9,q5.rq,0.75,1750,False
7,q5.rq,0.69,1750,False
3,q5.rq,0.65,1750,False
5,q5.rq,0.66,1750,False
6,q5.rq,0.66,1750,False
0,q5.rq,0.64,1750,False
2,q5.rq,0.66,1750,False
3,q6.rq,0.6,1,False
9,q6.rq,0.62,1,False
0,q6.rq,0.6,1,False
4,q6.rq,0.6,1,False
2,q6.rq,0.59,1,False
7,q6.rq,0.62,1,False
5,q6.rq,0.61,1,False
1,q6.rq,0.6,1,False
8,q6.rq,0.61,1,False
6,q6.rq,0.6,1,False
