Scale,Iteration,Time
5,1,0.71
5,2,0.47
5,3,0.49
5,4,0.52
5,5,0.49
5,6,0.50
5,7,0.51
5,8,0.51
5,9,0.49
5,10,0.49
10,1,1.07
10,2,0.95
10,3,0.94
10,4,1.03
10,5,0.98
10,6,0.95
10,7,0.96
10,8,0.95
10,9,0.91
10,10,0.91
50,1,4.09
50,2,4.27
50,3,4.36
50,4,4.34
50,5,4.34
50,6,4.41
50,7,4.36
50,8,4.36
50,9,4.43
50,10,4.39
100,1,8.17
100,2,8.63
100,3,8.8
100,4,8.85
100,5,9.09
100,6,9.19
100,7,9.13
100,8,8.88
100,9,9.08
100,10,9.16
