iteration,query,time,n,error
0,q1.rq,6.41,585400,False
4,q1.rq,6.54,585400,False
9,q1.rq,6.59,585400,False
2,q1.rq,6.8,585400,False
8,q1.rq,6.6,585400,False
5,q1.rq,6.55,585400,False
6,q1.rq,6.6,585400,False
3,q1.rq,8.42,585400,False
7,q1.rq,6.57,585400,False
1,q1.rq,6.45,585400,False
0,q11.rq,4.44,260,False
4,q11.rq,5.01,260,False
5,q11.rq,4.53,260,False
2,q11.rq,4.56,260,False
6,q11.rq,4.56,260,False
7,q11.rq,4.54,260,False
3,q11.rq,5.02,260,False
1,q11.rq,4.47,260,False
8,q11.rq,4.57,260,False
9,q11.rq,4.54,260,False
6,q14.rq,1.19,22340,False
7,q14.rq,1.18,22340,False
3,q14.rq,1.26,22340,False
5,q14.rq,1.18,22340,False
8,q14.rq,1.18,22340,False
1,q14.rq,1.16,22340,False
2,q14.rq,1.18,22340,False
4,q14.rq,1.18,22340,False
0,q14.rq,1.17,22340,False
9,q14.rq,1.2,22340,False
3,q16.rq,0.33,1690,False
8,q16.rq,0.33,1690,False
7,q16.rq,0.34,1690,False
5,q16.rq,0.34,1690,False
6,q16.rq,0.34,1690,False
4,q16.rq,0.33,1690,False
9,q16.rq,0.33,1690,False
0,q16.rq,0.32,1690,False
2,q16.rq,0.39,1690,False
1,q16.rq,0.34,1690,False
9,q17.rq,33.67,8550,False
0,q17.rq,33.91,8550,False
8,q17.rq,34.74,8550,False
7,q17.rq,33.67,8550,False
1,q17.rq,33.28,8550,False
5,q17.rq,33.69,8550,False
4,q17.rq,34.42,8550,False
2,q17.rq,42.29,8550,False
6,q17.rq,33.89,8550,False
3,q17.rq,35.21,8550,False
5,q18.rq,0.15,1300,False
6,q18.rq,0.16,1300,False
1,q18.rq,0.15,1300,False
7,q18.rq,0.15,1300,False
3,q18.rq,0.15,1300,False
8,q18.rq,0.15,1300,False
0,q18.rq,0.15,1300,False
2,q18.rq,0.18,1300,False
9,q18.rq,0.15,1300,False
4,q18.rq,0.15,1300,False
3,q2.rq,4.35,11998,False
7,q2.rq,3.39,11998,False
1,q2.rq,3.35,11998,False
6,q2.rq,3.43,11998,False
0,q2.rq,3.59,11998,False
8,q2.rq,3.41,11998,False
4,q2.rq,3.48,11998,False
5,q2.rq,3.42,11998,False
9,q2.rq,3.38,11998,False
2,q2.rq,3.39,11998,False
2,q3.rq,7.79,4207,False
6,q3.rq,5.2,4207,False
9,q3.rq,5.44,4207,False
3,q3.rq,5.39,4207,False
5,q3.rq,5.18,4207,False
8,q3.rq,5.14,4207,False
7,q3.rq,5.14,4207,False
4,q3.rq,5.26,4207,False
0,q3.rq,5.12,4207,False
1,q3.rq,5.62,4207,False
8,q4.rq,1.23,130,False
7,q4.rq,1.22,130,False
9,q4.rq,1.24,130,False
3,q4.rq,1.55,130,False
0,q4.rq,1.21,130,False
1,q4.rq,1.22,130,False
5,q4.rq,1.23,130,False
6,q4.rq,1.22,130,False
2,q4.rq,1.26,130,False
4,q4.rq,1.22,130,False
9,q5.rq,0.14,350,False
4,q5.rq,0.14,350,False
2,q5.rq,0.16,350,False
3,q5.rq,0.16,350,False
8,q5.rq,0.14,350,False
5,q5.rq,0.14,350,False
6,q5.rq,0.14,350,False
1,q5.rq,0.15,350,False
7,q5.rq,0.15,350,False
0,q5.rq,0.15,350,False
7,q6.rq,0.12,1,False
0,q6.rq,0.12,1,False
5,q6.rq,0.13,1,False
3,q6.rq,0.12,1,False
2,q6.rq,0.14,1,False
6,q6.rq,0.13,1,False
9,q6.rq,0.12,1,False
8,q6.rq,0.12,1,False
1,q6.rq,0.12,1,False
4,q6.rq,0.13,1,False
3,q9.rq,19.29,2306543,False
0,q9.rq,19.31,2306543,False
4,q9.rq,19.48,2306543,False
9,q9.rq,19.27,2306543,False
8,q9.rq,19.2,2306543,False
7,q9.rq,19.39,2306543,False
1,q9.rq,19.15,2306543,False
6,q9.rq,19.31,2306543,False
5,q9.rq,19.12,2306543,False
2,q9.rq,25.13,2306543,False
