Scale,Iteration,mapping_time,Time
5,1,3.909,90.87
5,2,3.972,91.79
5,3,4.064,95.87
5,4,4.027,92.18
5,5,4.104,93.49
5,6,4.154,102.68
5,7,4.130,96.23
5,8,4.230,96.74
5,9,4.204,90.85
5,10,4.092,96.1
